run_name,hidden,aggregator,fanout_s,fanout_l,dropout,batch_size,epoch,train_loss,train_acc,val_loss,val_acc,norm_train_acc,norm_val_acc
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,1,2.2046,0.3683,2.0026,0.0619,0.3683,0.0619
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,2,2.1649,0.4633,2.1765,0.0306,0.4633,0.0306
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,3,2.1354,0.492,2.1097,0.0407,0.492,0.0407
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,4,2.1131,0.4716,2.178,0.0423,0.4716,0.0423
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,5,2.1011,0.4986,2.4258,0.0364,0.4986,0.0364
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,6,2.0893,0.5149,2.4787,0.0359,0.5149,0.0359
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,7,2.0955,0.5081,2.3914,0.0404,0.5081,0.0404
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,8,2.0677,0.4955,2.386,0.0457,0.4955,0.0457
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,9,2.0627,0.4777,2.1851,0.054,0.4777,0.054
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,10,2.0625,0.515,2.3957,0.0441,0.515,0.0441
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,11,2.0472,0.4967,2.2753,0.0516,0.4967,0.0516
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,12,2.0497,0.4392,2.417,0.0442,0.4392,0.0442
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,13,2.0431,0.4889,2.3261,0.0533,0.4889,0.0533
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,14,2.0361,0.479,2.4127,0.0407,0.479,0.0407
hid64_aggmean_fan15-10_drop20_bs256,64,mean,15,10,0.2,256,15,2.0237,0.4982,2.5103,0.0385,0.4982,0.0385
